Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
71.8,11,0.15,21.9,91,0.41,4.38,71.8,0.46,-25,0.349
64.6,11,0.15,21.8,86,0.49,3.45,64.6,0.46,-24,0.349
70.4,14,0.14,23.4,98,0.59,4.57,70.4,0.49,-44,0.349
67.9,13,0.14,23.1,100,0.62,4.14,67.9,0.49,-38,0.349
65.3,7,0.15,23.3,95,0.63,3.62,65.3,0.46,-38,0.349
74.6,11,0.13,25.7,93,0.49,5.37,74.6,0.48,-36,0.411
71.4,16,0.14,26.5,87,0.36,4.64,71.4,0.50,-35,0.411
77.7,13,0.14,27.4,93,0.48,5.42,77.7,0.46,-24,0.411
77.8,11,0.15,27,82,0.44,5.28,77.8,0.38,-39,0.411
79.4,12,0.14,28.5,89,0.52,5.83,79.4,0.42,-31,0.411
80.3,14,0.14,27,84,0.47,5.79,80.3,0.41,-27,0.411
75.2,18,0.16,25.2,86,0.44,4.51,75.2,0.44,-16,0.411
75.3,15,0.14,22.6,91,0.46,5.24,75.3,0.46,-29,0.411
72.6,16,0.14,27.2,87,0.35,4.8,72.6,0.46,-22,0.411
76.2,12,0.14,26.4,99,0.59,5.45,76.2,0.47,-26,0.411
65.6,8,0.14,25.7,90,0.72,3.81,68,0.43,-25,0.411
71.3,15,0.14,30.1,97,0.62,4.69,72.3,0.50,-34,0.411
71.3,12,0.14,26.5,85,0.47,4.77,71.3,0.54,-31,0.411
82.7,19,0.14,25.2,79,0.25,6.05,82.7,0.44,-27,0.411
75.8,14,0.13,28.2,81,0.34,5.46,76.6,0.42,-37,0.411
77.7,15,0.14,27.6,85,0.51,5.58,77.7,0.41,-25,0.411
73.6,13,0.13,27.5,91,0.41,5.4,73.6,0.48,-34,0.411
79.8,17,0.14,27.5,79,0.29,5.64,79.8,0.43,-12,0.411
88.1,11,0.14,31.4,81,0.43,7.27,88.1,0.37,-24,0.411
82.5,13,0.14,28.3,88,0.49,6.2,82.5,0.42,-36,0.411
77.3,11,0.13,25.4,88,0.33,5.85,77.3,0.47,-16,0.411
74.5,11,0.14,25.3,81,0.26,4.92,74.5,0.43,-26,0.411
78.3,10,0.14,27.5,93,0.48,5.74,78.3,0.47,-31,0.411
72.8,15,0.13,27.1,87,0.33,5.04,72.8,0.47,-25,0.411
74.9,15,0.13,28.8,88,0.48,5.34,74.9,0.44,-29,0.411
70.6,16,0.14,24.4,86,0.43,4.47,70.6,0.44,-36,0.411
79.1,16,0.14,26.6,91,0.49,5.86,79.1,0.46,-25,0.411
71.2,13,0.14,25.4,97,0.58,4.69,71.2,0.45,-42,0.411
79.1,14,0.14,29.3,96,0.59,5.78,79.1,0.44,-25,0.411
76.2,11,0.14,25.4,99,0.59,5.21,76.2,0.47,-28,0.411
70.4,8,0.16,23.1,84,0.34,3.85,70.4,0.44,-28,0.411
78.4,15,0.15,28.3,92,0.48,5.37,78.4,0.49,-30,0.411
74.9,15,0.14,27.2,96,0.56,5.03,74.9,0.47,-32,0.411
71.3,12,0.13,28.9,85,0.31,4.91,71.3,0.51,-28,0.411
76.6,11,0.13,29.3,98,0.60,5.58,76.6,0.45,-30,0.411
82.7,16,0.14,29.7,89,0.50,6.22,82.7,0.44,-19,0.411
